advice(n) совет советовать #
again(adv)(v) опять снова вновь #
although(conj)(n) хотя #
any(adj) любой #
become(v) становиться #
before(n) до #
believe(v) верить #
buy(v) купить покупать#
can(n) мочь могу можешь #
catch(v) ловить поймать#
choose(v) выбирать выбрать#
climb(v) взбираться #
close(v) закрывать #
colour(n) цвет #
come(v) приходить #
death(n)(v) смерть #
do(v) делать действовать#
enough(adv) достаточно #
eye(n) глаз #
find(v) находить #
free(adj) свободный #
from(n) из #
give(v) дать отдать#
good(n) хороший #
great(adj) великолепный #
happy(adj) счастливый радостный#
have(v) иметь #
hear(v) услышать #
kind(adj) добрый #
know(v) знать #
learn(v) учить #
like(v) нравиться #
listen(v) слушать #
live(v) жить #
many(n) много #
mother(n)(v) мать #
move(v) двигать #
next(n) следующий #
often(n) часто #
old(adj) старый #
only(n) только #
open(v) открывать #
part(n)(v) часть #
really(adv) действительно определенно#
right(adj) правильный верный#
say(v) сказать говорить#
some(adj) некоторый несколько#
straight(adj) прямой #
sure(adj) уверенный #
talk(v) говорить разговаривать#
there(n) там #
they(pn)(n) они #
today(n) сегодня #
usually(adv) обычно #
walk(v) ходить #
want(v) хотеть #
watch(v) смотреть #
work(v) работать #
write(v) писать #
young(adj) молодой #
